pregunta_id,pregunta,pregunta_name,articulo_id,embeding
7301,¿Quién tiene la potestad para decidir sobre la adopción o reforma de los cánones arquitectónicos y estéticos en las Unidades Inmobiliarias Cerradas?,pregunta 7301,73,
7302,¿Qué tipo de mayoría se requiere en la Asamblea de copropietarios para aprobar la adopción o reforma de los cánones arquitectónicos y estéticos?,pregunta 7302,73,
7303,¿Qué tipo de autoridad competente debe aprobar la decisión de la Asamblea de copropietarios?,pregunta 7303,73,
7304,¿Cuáles son los pasos específicos que se deben seguir para la aprobación de la adopción o reforma de los cánones arquitectónicos y estéticos?,pregunta 7304,73,
7305,¿Existe un plazo específico para que la autoridad competente apruebe la decisión de la Asamblea de copropietarios?,pregunta 7305,73,
7306,¿A qué áreas específicas se aplica la decisión sobre la adopción o reforma de los cánones arquitectónicos y estéticos?,pregunta 7306,73,
7307,¿Se pueden aplicar diferentes cánones arquitectónicos y estéticos a diferentes áreas dentro de la Unidad Inmobiliaria Cerrada?,pregunta 7307,73,
7308,"¿Qué tipo de cambios se consideran ""adopción"" y qué tipo de cambios se consideran ""reforma"" de los cánones arquitectónicos y estéticos?",pregunta 7308,73,
7309,¿Existen ejemplos específicos de cambios que podrían ser considerados como adopción o reforma de los cánones arquitectónicos y estéticos?,pregunta 7309,73,
7310,¿Qué tipo de impacto puede tener la adopción o reforma de los cánones arquitectónicos y estéticos en los copropietarios?,pregunta 7310,73,
7311,¿Existen mecanismos para que los copropietarios puedan expresar sus opiniones o objeciones a la decisión de la Asamblea de copropietarios?,pregunta 7311,73,
7312,¿Qué tipo de sanciones se pueden aplicar a los copropietarios que no cumplan con los cánones arquitectónicos y estéticos aprobados?,pregunta 7312,73,
7313,"¿Qué se entiende por ""cánones arquitectónicos y estéticos"" en el contexto del Artículo 73?",pregunta 7313,73,
7314,"¿Qué se considera una ""Unidad Inmobiliaria Cerrada"" según el Artículo 73?",pregunta 7314,73,
7315,¿Existen otras leyes o regulaciones que complementen o modifiquen el Artículo 73?,pregunta 7315,73,
7401,"¿Qué se considera un nivel tolerable de señales visuales, ruido, olor y partículas en el exterior de las Unidades Inmobiliarias Cerradas?",pregunta 7401,74,
7402,¿Quién determina los niveles tolerables de estas señales?,pregunta 7402,74,
7403,¿Pueden los reglamentos de las Unidades Inmobiliarias Cerradas establecer niveles más restrictivos que los establecidos por las autoridades?,pregunta 7403,74,
7404,¿Cómo se pueden reportar las violaciones a los niveles tolerables de estas señales?,pregunta 7404,74,
7405,"¿Qué medidas se pueden tomar para reducir las señales visuales, ruido, olor y partículas que trascienden el exterior de las Unidades Inmobiliarias Cerradas?",pregunta 7405,74,
7406,¿Qué requisitos establecen los reglamentos de las Unidades Inmobiliarias Cerradas para la permanencia de mascotas?,pregunta 7406,74,
7407,¿Quién es responsable de asegurar que las mascotas cumplan con los requisitos establecidos?,pregunta 7407,74,
7408,¿Qué medidas se pueden tomar contra los propietarios de mascotas que no cumplan con los requisitos?,pregunta 7408,74,
7409,¿Cómo se pueden resolver las disputas entre vecinos relacionadas con las mascotas?,pregunta 7409,74,
7410,¿Qué son las Unidades Inmobiliarias Cerradas y cómo se diferencian de otros tipos de inmuebles?,pregunta 7410,74,
7411,¿Qué tipo de actividades se pueden realizar dentro de las Unidades Inmobiliarias Cerradas?,pregunta 7411,74,
7412,¿Qué derechos y obligaciones tienen los propietarios de las Unidades Inmobiliarias Cerradas?,pregunta 7412,74,
7413,¿Cómo se pueden obtener más información sobre las normas y reglamentos de las Unidades Inmobiliarias Cerradas?,pregunta 7413,74,
7501,¿Qué tipo de reformas en fachadas y áreas comunes requieren la autorización de la Junta de Copropietarios?,pregunta 7501,75,
7502,"¿Qué se considera ""cánones vigentes"" en relación a las reformas?",pregunta 7502,75,
