articulo_id,articulo_name,detalla,contenido,conteo_palabras,rango_palabras
4,Artículo 4,Constitución,"Un edificio o conjunto se somete al régimen de propiedad horizontal mediante escritura pública registrada en la Oficina de Registro de Instrumentos Públicos. Realizada esta inscripción, surge la persona jurídica a que se refiere esta ley.",36,0-132
6,Artículo 6,Documentación anexa,"Con la escritura pública de constitución o de adición al régimen de propiedad horizontal, según sea el caso, deberán protocolizarse la licencia de construcción o el documento que haga sus veces y los planos aprobados por la autoridad competente que muestren la localización, linderos, nomenclatura y área de cada una de las unidades independientes que serán objeto de propiedad exclusiva o particular y el señalamiento general de las áreas y bienes de uso común.
PARÁGRAFO. Si se encontraren discordancias entre la escritura de constitución o adición al régimen de propiedad horizontal y los documentos señalados en el presente artículo, el Notario Público respectivo dejará constancia expresa en la escritura.",109,0-132
10,Artículo 10,Procedimiento,"La propiedad horizontal se extingue total o parcialmente por las causales legales antes mencionadas, una vez se eleve a escritura pública la decisión de la asamblea general de propietarios, o la sentencia judicial que lo determine, cuando a ello hubiere lugar, y se inscriba en la Oficina de Registro de Instrumentos Públicos.",52,0-132
12,Artículo 12,Liquidación de la persona jurídica,"Una vez se registre la extinción total de la propiedad horizontal según lo dispuesto en este capítulo, se procederá a la disolución y liquidación de la persona jurídica, la cual conservará su capacidad legal para realizar los actos tendientes a tal fin.
Actuará como liquidador el administrador, previa presentación y aprobación de cuentas, salvo decisión de la asamblea general o disposición legal en contrario. Para efectos de la extinción de la persona jurídica, el acta de liquidación final deberá registrarse ante la entidad responsable de certificar sobre su existencia y representación legal.",92,0-132
15,Artículo 15,Seguros,"Todos los edificios o conjuntos sometidos al régimen de propiedad horizontal podrán constituir pólizas de seguros que cubran contra los riesgos de incendio y terremoto, que garanticen la reconstrucción total de los mismos.
PARÁGRAFO 1º. En todo caso será obligatoria la constitución de pólizas de seguros que cubran contra los riegos de incendio y terremoto los bienes comunes de que trata la presente ley, susceptibles de ser asegurados.
PARÁGRAFO 2º. Las indemnizaciones provenientes de los seguros quedarán afectadas en primer término a la reconstrucción del edificio o conjunto en los casos que ésta sea procedente. Si el inmueble no es reconstruido, el importe de la indemnización se distribuirá en proporción al derecho de cada propietario de bienes privados, de conformidad con los coeficientes de copropiedad y con las normas legales aplicables.",131,0-132
25,Artículo 25,"Todo reglamento de propiedad horizontal deberá señalar los coeficientes de copropiedad de los bienes de dominio particular que integran el conjunto o edificio, los cuales se calcularán de conformidad con lo establecido en la presente ley","Tales coeficientes determinarán:1. La proporción de los derechos de cada uno de los propietarios de bienes privados sobre los bienes comunes del edificio o conjunto.2. El porcentaje de participación en la asamblea general de propietarios.3. El índice de participación con que cada uno de los propietarios de bienes privados ha de contribuir a las expensas comunes del edifico o conjunto, mediante el pago de cuotas ordinarias y extraordinarias de administración, salvo cuando éstas se determinen de acuerdo con los módulos de contribución en la forma señalada en el reglamento.",89,0-132
26,Artículo 26,Determinación,"Salvo lo dispuesto en la presente ley para casos específicos, los coeficientes de copropiedad se calcularán con base en el área privada construida de cada bien de dominio particular, con respecto al área total privada del edificio o conjunto.
El área privada libre se determinará de manera expresa en el reglamento de propiedad horizontal, en proporción al área privada construida, indicando los factores de ponderación utilizados.
PARÁGRAFO. Para calcular el coeficiente de copropiedad de parqueaderos y depósitos, se podrán ponderar los factores de área privada y destinación.",87,0-132
27,Artículo 27,Factores de cálculo en edificios o conjuntos de uso mixto y en los conjuntos comerciales,"En los edificios o conjuntos de uso mixto y en los destinados a comercio, los coeficientes de copropiedad se calculan de acuerdo con un valor inicial que represente una ponderación objetiva entre el área privada y la destinación y características de los mismos. Los reglamentos de propiedad horizontal deberán expresar en forma clara y precisa los criterios de ponderación para la determinación de los coeficientes de copropiedad.
PARÁGRAFO. El referido valor inicial no necesariamente tendrá que coincidir con el valor comercial de los bienes de dominio particular.",87,0-132
30,Artículo 30,Incumplimiento en el pago de expensas,"El retardo en el cumplimiento del pago de expensas causará intereses de mora, equivalentes a una y media veces el interés bancario corriente, certificado por la Superintendencia Bancaria, sin perjuicio de que la asamblea general, con quórum que señale el reglamento de propiedad horizontal, establezca un interés inferior.
Mientras subsista este incumplimiento, tal situación podrá publicarse en el edificio o conjunto. El acta de la asamblea incluirá los propietarios que se encuentren en mora. NOTA: La expresión subrayada fue declarada EXEQUIBLE por la Sentencia C-328 de 2019.
PARÁGRAFO. La publicación referida en el presente artículo solo podrá hacerse en lugares donde no exista tránsito constante de visitantes, garantizando su debido conocimiento por parte de los copropietarios.",116,0-132
33,Artículo 33,Naturaleza y características,"La persona jurídica originada en la constitución de la propiedad horizontal es de naturaleza civil, sin ánimo de lucro. Su denominación corresponderá a la del edificio o conjunto y su domicilio será el municipio o distrito donde este se localiza y tendrá la calidad de no contribuyente de impuestos nacionales, así como del impuesto de industria y comercio, en relación con las actividades propias de su objeto social, de conformidad con lo establecido en el artículo 195 del Decreto 1333 de 1986.
PARÁGRAFO. La destinación de algunos bienes que produzcan renta para sufragar expensas comunes, no desvirtúa la calidad de persona jurídica sin ánimo de lucro.JurisprudenciaDeclarado EXEQUIBLE por la Corte Constitucional mediante sentencia C-812 de 2009.",116,0-132
34,Artículo 34,Recursos patrimoniales,"Los recursos patrimoniales de la persona jurídica estarán conformados por los ingresos provenientes de las expensas comunes ordinarias y extraordinarias, multas, intereses, fondo de imprevistos, y demás bienes e ingresos que adquiera o reciba a cualquier título para el cumplimiento de su objeto.",43,0-132
36,Artículo 36,Organos de dirección y administración,"La dirección y administración de la persona jurídica corresponde a la asamblea general de propietarios, al consejo de administración, si lo hubiere, y al administrador de edificio o conjunto.PARÁGRAFO 1°. Adicionado por el art. 46, Ley 2079 de 2021. <El texto adicionado es el siguiente>  Para las propiedades horizontales conformadas por 5 o menos unidades de Viviendas de Interés Social y Viviendas de Interés Prioritario, bastará con la designación de un administrador quien ejercerá sus funciones de conformidad con lo establecido en el Capítulo XI de la Ley 675 de 2001, en ausencia de esa designación, los propietarios actuarán como administradores conjuntos y serán solidariamente responsables por las obligaciones asociadas a ese cargo.",113,0-132
40,Artículo 40,Reuniones por derecho propio,"Si no fuere convocada la asamblea se reunirá en forma ordinaria, por derecho propio el primer día hábil del cuarto mes siguiente al vencimiento de cada período presupuestal, en el lugar y hora que se indique en el reglamento, o en su defecto, en las instalaciones del edificio o conjunto a las ocho pasado meridiano (8:00 p.m.).
Será igualmente válida la reunión que se haga en cualquier día, hora o lugar, sin previa convocatoria, cuando los participantes representen la totalidad de los coeficientes de copropiedad del edificio o conjunto, sin perjuicio de lo previsto en la presente ley, para efectos de mayorías calificadas.",103,0-132
